source_file,input_statement,statement_type,A,D,I,B,C,O
наставление разработчику_developer_s_guide,"If you have taken someone else's code, be sure to put a link to the source code where it was taken from.",norm,you,should,put a link,to the source code,where it was taken from,
наставление разработчику_developer_s_guide,"* Commits are mandatory whenever there is something to commit (that is, just about every day).",rule,implied actor,mandatory,commit,,whenever there is something to commit,
наставление разработчику_developer_s_guide,"* It is desirable to keep stable code in a separate branch, and inject only checked changes into it.",norm,implied actor,desirable,"keep, inject","stable code, checked changes",in a separate branch,
наставление разработчику_developer_s_guide,"* If more than one person is on the project, then development should be done in a private branch.",norm,implied actor,should,develop,,in a private branch,
наставление разработчику_developer_s_guide,"A commit should always have a comment, in Russian, describing the brief essence of the changes.",norm,implied actor,should,have,comment,"in Russian, describing the brief essence of the changes",
наставление разработчику_developer_s_guide,"The comment should include the number of the bug or task from the accounting system,",norm,implied actor,should,include,comment,the number of the bug or task from the accounting system,
наставление разработчику_developer_s_guide,This means that you can no longer fug a git push without figuring it out directly from the project directory.,,,,,,,
наставление разработчику_developer_s_guide,"If you are command line, you should list the files by name and make sure to diff with upstream before committing.",norm,you,should,"list, diff, commit",files,"by name, with upstream",
наставление разработчику_developer_s_guide,Only those files that are related to a single task are commited.,norm,implied actor,Should not,commit,those files,that are related to a single task,
наставление разработчику_developer_s_guide,Only those lines of a file that are relevant to a single task are committed.,norm,implied actor,should not,commit,those lines of a file,that are relevant to a single task,
план тестирования бк_bk_test_plan,Only the tester can upload combat versions of software (for combat groups) into the admin area!,norm,tester,can,upload,combat versions of software,into the admin area for combat groups,
план тестирования бк_bk_test_plan,"6.2 When uploading files, you should specify a new version number for each binary.",norm,you,should,specify,new version number for each binary,when uploading files,
план тестирования бк_bk_test_plan,The version number must be specified by the developer when issuing.,rule,developer,must,specify,version number,when issuing,
план тестирования бк_bk_test_plan,"In the antivirus settings you should disable sending samples and cloud protection, at least at first, so that samples are not merged.",norm,you,should,disable,sending samples and cloud protection,"in the antivirus settings, at least at first",
план тестирования бк_bk_test_plan,"The bot should be displayed as ""online"" if it has been contacted for at least 15 minutes.",norm,the bot,should,be displayed,as 'online',if it has been contacted for at least 15 minutes,
план тестирования бк_bk_test_plan,Should get system info in the corresponding tab.,norm,implied actor,should,get,system info,in the corresponding tab,
план тестирования бк_bk_test_plan,"Before executing this command, you should run something long (you can try run .bat timeout 10000),",norm,you,should,run,something long,before executing this command,
план тестирования бк_bk_test_plan,"After executing Reset, the previous blocking command should be marked as done, the bot is ready to receive the next command.",norm,implied actor,should,mark,previous blocking command,after executing Reset,
план тестирования бк_bk_test_plan,"After the command is executed, the process should terminate.",norm,implied actor,should,terminate,the process,after the command is executed,
план тестирования бк_bk_test_plan,The full path to the file must be entered in the corresponding field.,rule,implied actor,must,enter,full path to the file,in the corresponding field,
план тестирования бк_bk_test_plan,"After rebooting the machine, the bot should not be tapping.",norm,bot,should not,tap,,after rebooting the machine,
план тестирования бк_bk_test_plan,"After rebooting the machine, the bot should tap in the admin area.",norm,bot,should,tap,in the admin area,after rebooting the machine,
план тестирования бк_bk_test_plan,There should be no detects on either the loader or the bot.,norm,implied actor,should,have,no detects,on either the loader or the bot,
план тестирования бк_bk_test_plan,"If you run an x86 loader on an x64 machine, it should first update to the x64 version of itself,",norm,you,should,update,the x64 version of itself,if you run an x86 loader on an x64 machine,
план тестирования бк_bk_test_plan,The updates should get to the machine.,norm,implied actor,should,get,updates,to the machine,
наставление техническому руководителю_technical_manager_s_guide_HUMAN,All your activities should be subordinated to one goal - the result.,norm,implied actor,should,subordinated,all your activities to one goal,- the result,
наставление техническому руководителю_technical_manager_s_guide_HUMAN,"For the sake of this, you can overstep _any_ rules.",norm,you,can,overstep,_any_ rules,for the sake of this,
наставление техническому руководителю_technical_manager_s_guide_HUMAN,4. Try to act with a good word of mouth.,norm,implied actor,try to,act,,with a good word of mouth,
наставление техническому руководителю_technical_manager_s_guide_HUMAN,"You have the right to fire and hire, to punish and reward (mostly with money).",norm,You,Have the right to,"fire and hire, punish and reward",,(mostly with money),
наставление техническому руководителю_technical_manager_s_guide_HUMAN,"A good specialist is hard to find and easy to lose, so look for common ground, do not focus on the unimportant.",norm,implied actor,do not,focus,on the unimportant,"A good specialist is hard to find and easy to lose, ",
ежедневные крипты_daily_cryptos,The build is not issued only if there are no live gaskets at all.,,,,,,,
ежедневные крипты_daily_cryptos,The developer should independently check the morning build on autotests and give a conclusion about its suitability no later than 11 am Moscow time.,norm,developer,should,"check, give a conclusion",morning build on autotests,no later than 11 am Moscow time,
ежедневные крипты_daily_cryptos,A suitable build must go to crypt no later than 12 noon.,rule,implied actor,must,send,a suitable build,to crypt no later than 12 noon,
ежедневные крипты_daily_cryptos,"4. the tester should ask the client and prepare a list of working file names (under which the file will be used) for testing,",norm,tester,should,ask and prepare,list of working file names,for testing under which the file will be used by the client,
ежедневные крипты_daily_cryptos,5. Crypts of each build should be prepared at least two.,norm,implied actor,should,prepare,crypts of each build,at least two,
ежедневные крипты_daily_cryptos,"6.1 The cryptographer is obliged to independently test his crypt for top ABs, including by means of the cryptopanel.",rule,the cryptographer,obliged,test,his crypt for top ABs,by means of the cryptopanel,
ежедневные крипты_daily_cryptos,the tester should weekly check for dyncheck of removed builds.,norm,tester,should,check,dyncheck of removed builds,weekly,
оформление кода и сборок_code_and_assembly_design,The module must have two versions - x32- and x64-bit.,rule,implied actor,must,have,two versions of module,- x32- and x64-bit,
оформление кода и сборок_code_and_assembly_design,"For .dll modules, it is acceptable to include a _test_ launcher as a .exe.",norm,implied actor,acceptable,include,_test_ launcher as a .exe,for .dll modules,
оформление кода и сборок_code_and_assembly_design,Each log entry must contain a timestamp accurate to the second.,rule,implied actor,must,Include,a timestamp accurate to the second,In a log entry,
оформление кода и сборок_code_and_assembly_design,In the name of the directory with the assembly must be the name of the module and the date (for example cookies.22.04.2019).,rule,implied actor,must,Include,the name of the module and the date (for example cookies.22.04.2019),In the name of the directory with the assembly,
оформление кода и сборок_code_and_assembly_design,"If there are several builds of the same module on the specified date, a unique suffix should be added (e.g. cookies.22.04.2019.2).",norm,implied actor,should,add,unique suffix,if there are several builds of the same module on the specified date,
оформление кода и сборок_code_and_assembly_design,Two files in Russian must be attached to the build:,rule,implied actor,must,attach,two files in Russian,to the build,
оформление кода и сборок_code_and_assembly_design,DO NOT check detections on virustotal.com!!!!,rule,implied actor,DO NOT,check,detections,on virustotal.com,
оформление кода и сборок_code_and_assembly_design,You should commit EVERY code that is not working - just do it in a separate branch and merge it into the main branch after stabilization.,norm,you,should,"commit, do",code that is not working,"in a separate branch, then merge into the main branch after stabilization",
чистка АВ_AV_cleaning,"In short, during detections, a log with all details should be kept in the RELEASE_NOTES.txt file of the project.",norm,implied actor,should,keep,a log with all details,in the RELEASE_NOTES.txt file of the project,
чистка АВ_AV_cleaning,"To remove static, you should use avclean's automatic detector scanner to save your time.",norm,you,should,Use,avclean's automatic detector scanner,"To remove static, to save your time.",
